model	format	backend	rep	time_ms	tensors	bytes
Qwen/Qwen3-0.6B	safetensors	sync	1	551.63	311	1503300328
Qwen/Qwen3-0.6B	safetensors	sync	2	550.90	311	1503300328
Qwen/Qwen3-0.6B	safetensors	sync	3	552.46	311	1503300328
Qwen/Qwen3-0.6B	safetensors	sync	4	573.08	311	1503300328
Qwen/Qwen3-0.6B	safetensors	sync	5	552.05	311	1503300328
Qwen/Qwen3-0.6B	safetensors	async	1	1275.89	311	1503300328
Qwen/Qwen3-0.6B	safetensors	async	2	1447.33	311	1503300328
Qwen/Qwen3-0.6B	safetensors	async	3	1391.14	311	1503300328
Qwen/Qwen3-0.6B	safetensors	async	4	1395.86	311	1503300328
Qwen/Qwen3-0.6B	safetensors	async	5	1427.05	311	1503300328
Qwen/Qwen3-0.6B	safetensors	default	1	337.37	311	1503300328
Qwen/Qwen3-0.6B	safetensors	default	2	352.52	311	1503300328
Qwen/Qwen3-0.6B	safetensors	default	3	344.27	311	1503300328
Qwen/Qwen3-0.6B	safetensors	default	4	335.39	311	1503300328
Qwen/Qwen3-0.6B	safetensors	default	5	321.58	311	1503300328
Qwen/Qwen3-0.6B	safetensors	io-uring	1	1100.43	311	1503300328
Qwen/Qwen3-0.6B	safetensors	io-uring	2	1173.52	311	1503300328
Qwen/Qwen3-0.6B	safetensors	io-uring	3	1235.23	311	1503300328
Qwen/Qwen3-0.6B	safetensors	io-uring	4	1161.65	311	1503300328
Qwen/Qwen3-0.6B	safetensors	io-uring	5	1153.08	311	1503300328
HuggingFaceTB/SmolLM3-3B	safetensors	sync	1	1356.33	326	6150235008
HuggingFaceTB/SmolLM3-3B	safetensors	sync	2	1264.73	326	6150235008
HuggingFaceTB/SmolLM3-3B	safetensors	sync	3	1317.38	326	6150235008
HuggingFaceTB/SmolLM3-3B	safetensors	sync	4	1354.41	326	6150235008
HuggingFaceTB/SmolLM3-3B	safetensors	sync	5	1372.09	326	6150235008
HuggingFaceTB/SmolLM3-3B	safetensors	async	1	5778.17	326	6150235008
HuggingFaceTB/SmolLM3-3B	safetensors	async	2	5839.42	326	6150235008
HuggingFaceTB/SmolLM3-3B	safetensors	async	3	5826.68	326	6150235008
HuggingFaceTB/SmolLM3-3B	safetensors	async	4	5879.68	326	6150235008
HuggingFaceTB/SmolLM3-3B	safetensors	async	5	5691.58	326	6150235008
HuggingFaceTB/SmolLM3-3B	safetensors	default	1	3751.73	326	6150235008
HuggingFaceTB/SmolLM3-3B	safetensors	default	2	3644.04	326	6150235008
HuggingFaceTB/SmolLM3-3B	safetensors	default	3	3586.88	326	6150235008
HuggingFaceTB/SmolLM3-3B	safetensors	default	4	3690.97	326	6150235008
HuggingFaceTB/SmolLM3-3B	safetensors	default	5	3674.99	326	6150235008
HuggingFaceTB/SmolLM3-3B	safetensors	io-uring	1	3979.33	326	6150235008
HuggingFaceTB/SmolLM3-3B	safetensors	io-uring	2	3938.97	326	6150235008
HuggingFaceTB/SmolLM3-3B	safetensors	io-uring	3	3579.97	326	6150235008
HuggingFaceTB/SmolLM3-3B	safetensors	io-uring	4	3973.87	326	6150235008
HuggingFaceTB/SmolLM3-3B	safetensors	io-uring	5	3621.31	326	6150235008
Qwen/Qwen3-4B	safetensors	sync	1	1809.49	398	8044982000
Qwen/Qwen3-4B	safetensors	sync	2	1782.13	398	8044982000
Qwen/Qwen3-4B	safetensors	sync	3	1835.93	398	8044982000
Qwen/Qwen3-4B	safetensors	sync	4	1928.71	398	8044982000
Qwen/Qwen3-4B	safetensors	sync	5	1904.97	398	8044982000
Qwen/Qwen3-4B	safetensors	async	1	5114.99	398	8044982000
Qwen/Qwen3-4B	safetensors	async	2	5179.98	398	8044982000
Qwen/Qwen3-4B	safetensors	async	3	5142.85	398	8044982000
Qwen/Qwen3-4B	safetensors	async	4	4903.41	398	8044982000
Qwen/Qwen3-4B	safetensors	async	5	4883.83	398	8044982000
Qwen/Qwen3-4B	safetensors	default	1	2954.67	398	8044982000
Qwen/Qwen3-4B	safetensors	default	2	3219.72	398	8044982000
Qwen/Qwen3-4B	safetensors	default	3	3014.79	398	8044982000
Qwen/Qwen3-4B	safetensors	default	4	3721.90	398	8044982000
Qwen/Qwen3-4B	safetensors	default	5	2859.14	398	8044982000
Qwen/Qwen3-4B	safetensors	io-uring	1	2804.38	398	8044982000
Qwen/Qwen3-4B	safetensors	io-uring	2	3081.44	398	8044982000
Qwen/Qwen3-4B	safetensors	io-uring	3	3178.38	398	8044982000
Qwen/Qwen3-4B	safetensors	io-uring	4	3042.45	398	8044982000
Qwen/Qwen3-4B	safetensors	io-uring	5	3091.43	398	8044982000
Qwen/Qwen3-8B	safetensors	sync	1	4204.57	399	16381516776
Qwen/Qwen3-8B	safetensors	sync	2	3859.03	399	16381516776
Qwen/Qwen3-8B	safetensors	sync	3	3557.00	399	16381516776
Qwen/Qwen3-8B	safetensors	sync	4	3759.47	399	16381516776
Qwen/Qwen3-8B	safetensors	sync	5	4096.97	399	16381516776
Qwen/Qwen3-8B	safetensors	async	1	6942.15	399	16381516776
Qwen/Qwen3-8B	safetensors	async	2	7077.47	399	16381516776
Qwen/Qwen3-8B	safetensors	async	3	7097.60	399	16381516776
Qwen/Qwen3-8B	safetensors	async	4	7045.49	399	16381516776
Qwen/Qwen3-8B	safetensors	async	5	7140.69	399	16381516776
Qwen/Qwen3-8B	safetensors	default	1	3874.17	399	16381516776
Qwen/Qwen3-8B	safetensors	default	2	3963.54	399	16381516776
Qwen/Qwen3-8B	safetensors	default	3	3876.18	399	16381516776
Qwen/Qwen3-8B	safetensors	default	4	3813.06	399	16381516776
Qwen/Qwen3-8B	safetensors	default	5	3815.50	399	16381516776
Qwen/Qwen3-8B	safetensors	io-uring	1	3040.47	399	16381516776
Qwen/Qwen3-8B	safetensors	io-uring	2	3323.42	399	16381516776
Qwen/Qwen3-8B	safetensors	io-uring	3	3082.46	399	16381516776
Qwen/Qwen3-8B	safetensors	io-uring	4	3161.23	399	16381516776
Qwen/Qwen3-8B	safetensors	io-uring	5	3291.22	399	16381516776
Qwen/Qwen3-14B	safetensors	sync	1	4900.69	443	29536665640
Qwen/Qwen3-14B	safetensors	sync	2	6165.85	443	29536665640
Qwen/Qwen3-14B	safetensors	sync	3	1610.31	443	29536665640
